ID,Type,Name,Published,"Visibility in catalog",Stock,"Sale price","Regular price",Categories,Tags,Parent
14,simple,"Airpod 2",1,visible,,,2000000,"Tai nghe",,
33,simple,"HyperX Cloud 2",1,visible,,,3000000,"Tai nghe",,
34,simple,"NZXT Kraken AIO",1,visible,,,3500000,"Tản nhiệt",,
68,simple,24G2,1,visible,,4200000,4900000,"Màn hình máy tính",,
78,simple,"ViewSonic XG24",1,visible,,4700000,5000000,"Màn hình máy tính",,
79,simple,"Sạc dự phòng Energizer",1,visible,,350000,500000,Gadgets,,
80,simple,"Play Station 5",1,visible,,18500000,20000000,"Máy trạm game",,
81,simple,"Pad Chuột Cosair",1,visible,,,400000,Chuột,,
82,simple,"Logitech GPro X Superlight",1,visible,,2850000,3000000,Chuột,,
83,simple,"ASUS ROG Strix Scar G15",1,visible,,,50000000,Laptop,,
133,simple,"Digital Camera",1,visible,,115,125,"Electronics, Gadgets",Camera,
134,simple,"Mechanical Watch",1,visible,,,50,Gadgets,"Smart Watch",
135,simple,"Iphone X",1,visible,,,315,Gadgets,Mobile,
136,simple,"DSLR Camera",1,visible,,240,255,"Electronics, Gadgets",Camera,
137,simple,"Apple Watch",1,visible,,,60,Gadgets,"Smart Watch",
138,simple,Accessories,1,visible,,,25,Gadgets,,
139,simple,Notebook,1,visible,,,180,Electronics,Laptop,
140,simple,"Power bank",1,visible,,30,35,"Electronics, Gadgets",,
141,simple,"Iphone 14 Pro Max",1,visible,,39999999,40000000,"Smart Phone",Mobile,
142,simple,"Stand Keyboard",1,visible,,,20,Gadgets,Laptop,
143,simple,"Lenevo Laptop",1,visible,,138,145,Electronics,Laptop,
144,simple,"Beat Headphone",1,visible,,,50,"Electronics, Gadgets",,
403,simple,"Samsung Galaxy Tab A7 Lite",1,visible,,9500000,10000000,"Máy tính bảng",tablet,
404,simple,"Camera an ninh",1,visible,,3600000,4000000,"Camera, Camera > Camera an ninh",,
405,simple,"Camera hành trình",1,visible,,2999999,3000000,"Camera, Camera > Camera an ninh",Camera,
406,simple,"Camera 360 độ - Ezviz",1,visible,,450000,500000,"Camera, Camera > Camera an ninh",Camera,
407,simple,"Camera Outdoor 3Megapixel-Ezviz",1,visible,,,600000,"Camera, Camera > Camera an ninh",,
409,simple,"Camera Outdoor Tapo",1,visible,,550000,600000,"Camera, Camera > Camera an ninh",,
410,simple,"Webcam Rapo 1080p-60fps",1,visible,,2000000,2400000,"Camera, Camera > Webcam",,
411,simple,"Ipad Pro M2-12.5-Wifi-Silver",1,visible,,22900000,23000000,"Máy tính bảng",,
412,simple,"Samsung S22",1,visible,,15500000,17000000,"Điện thoại",,
413,simple,"Samsung S22 Plus White",1,visible,,17000000,18000000,"Điện thoại",phone,
414,simple,"Iphone 11 White",1,visible,,16500000,17000000,"Điện thoại",,
415,simple,"Ipad Pro M2-12.5-inch-wifi-5g-xam",1,visible,,35000000,36000000,"Máy tính bảng",,
416,simple,"Iphone 12 Mini Red",1,visible,,999999,1000000,"Điện thoại",,
417,simple,"Iphone 13 Graphite",1,visible,,19500000,20000000,"Điện thoại","iphone, phone",
418,simple,"Iphone 13 Pro Max Green",1,visible,,26500000,28000000,"Điện thoại","iphone, phone",
419,simple,"Iphone 13 Starlight",1,visible,,,2000000,"Điện thoại","iphone, phone",
420,simple,"Iphone 14 Plus Black",1,visible,,,26000000,"Điện thoại","iphone, phone",
421,simple,"Iphone 14 Pro Max Black",1,visible,,,38000000,"Điện thoại","iphone, phone",
422,simple,"Oppo A55",1,visible,,3700000,4000000,"Điện thoại",,
423,simple,"Oppo Find X5 Pro 5G",1,visible,,28900000,29000000,"Điện thoại",phone,
